item_id,title,description,tags,category,location,state,min price (RM),max price (RM),operating hours,operating days,closing days,rating,host_id,host_name,contact,more_info,clean_description,clean_tags,clean_operating_hours,clean_operating_days,clean_closing_days,avg_price_rm,combined_text
EX55,Gani Famous Pasembur,Popular stall at Gurney Drive for authentic pasembur with wide seafood selection.,"pasembur, local food, hawker, penang",Food & Culinary,Gurney Drive,Penang,7,15,12:00 PM-10:00 PM,Daily,Not Mentioned,4.6,HO123,Gani Pasembur,019-221 3344,Family-run.,Popular stall at Gurney Drive for authentic pasembur with wide seafood selection.,"pasembur, local food, hawker, penang",12.00 p.m. - 10.00 p.m.,Daily,Not Mentioned,11,"Gani Famous Pasembur pasembur, local food, hawker, penang Popular stall at Gurney Drive for authentic pasembur with wide seafood selection."
EX56,Hami EcoFarm,"Eco farm in Perak offering agricultural tours, organic produce, and hands-on farming experiences.","eco farm, agriculture, nature, perak",Nature & Eco,Batu Gajah,Perak,15,60,9:00  AM - 5:00  PM,Daily,Not Mentioned,4.8,HO48,Hami EcoFarm,011-1062 9023,https://www.facebook.com/HamiEcoFarm,"Eco farm in Perak offering agricultural tours, organic produce, and hands-on farming experiences.","eco farm, agriculture, nature, perak",9.00 a.m. - 5.00 p.m.,Daily,Not Mentioned,37.5,"Hami EcoFarm eco farm, agriculture, nature, perak Eco farm in Perak offering agricultural tours, organic produce, and hands-on farming experiences."
EX57,Handicraft Market,"Popular market at Kota Kinabalu Waterfront selling Sabah pearls, woven crafts, and local souvenirs.","market, handicraft, sabah, tourism",Arts & Crafts,Kota Kinabalu,Sabah,5,500,8:00  AM - 7:00  PM,Daily,Not Mentioned,4.6,HO75,KK Handicraft Market,088-212 121,https://sabahtourism.com/destination/handicraft-market,"Popular market at Kota Kinabalu Waterfront selling Sabah pearls, woven crafts, and local souvenirs.","market, handicraft, sabah, tourism",8.00 a.m. - 7.00 p.m.,Daily,Not Mentioned,252.5,"Handicraft Market market, handicraft, sabah, tourism Popular market at Kota Kinabalu Waterfront selling Sabah pearls, woven crafts, and local souvenirs."
EX58,Hayat Creative Craft,Workshop producing decorative crafts from recycled materials and wood.,"creative, craft, recycled, handmade",Arts & Crafts,Taiping,Perak,10,80,9:30  AM - 5:30  PM,Daily,Not Mentioned,4.6,HO39,Hayat Creative Craft,017-440 2290,https://www.facebook.com/HayatCreativeCraft,Workshop producing decorative crafts from recycled materials and wood.,"creative, craft, recycled, handmade",9.30 a.m. - 5.30 p.m.,Daily,Not Mentioned,45,"Hayat Creative Craft creative, craft, recycled, handmade Workshop producing decorative crafts from recycled materials and wood."
EX59,Herbal Nasuha,Malaysia's largest herbal plantation with restaurants serving herbal cuisine and products.,"herbs, agro tourism, wellness",Nature & Eco,"Jalan Muar, 84500 Muar, Johor Darul Ta'zim",Johor,1,20,10.30 a;m - 5.00  PM,Daily,Not Mentioned,4.2,HO189,Nasuha Herbs,018-768 1000,https://www.facebook.com/NasuhaHerbsRestaurant/,Malaysia's largest herbal plantation with restaurants serving herbal cuisine and products.,"herbs, agro tourism, wellness",10.30 a;m - 5.00 PM,Daily,Not Mentioned,10.5,"Herbal Nasuha herbs, agro tourism, wellness Malaysia's largest herbal plantation with restaurants serving herbal cuisine and products."
EX60,Historical Malacca Day Tour from Kuala Lumpur (Private Tour),Full-day private guided tour exploring Malacca's historical landmarks and cuisine.,"malacca, tour, heritage, history",Culture & Heritage,Jonker Walk,Melaka,0,378.46,8.00  AM - 6.00  PM,Daily,Not Mentioned,4.8,HO28,Private Malacca Historical tour,Not Mentioned,https://www.tripadvisor.com.my/AttractionProductReview-g298570-d21122798-Historical_Malacca_Day_Tour_from_Kuala_Lumpur_Private_Tour-Kuala_Lumpur_Wilayah_Pe.html,Full-day private guided tour exploring Malacca's historical landmarks and cuisine.,"malacca, tour, heritage, history",8.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,189.23,"Historical Malacca Day Tour from Kuala Lumpur (Private Tour) malacca, tour, heritage, history Full-day private guided tour exploring Malacca's historical landmarks and cuisine."
EX61,"Historical, Heritage & Cultural Walks George Town","Explore Penang's UNESCO-listed George Town through guided heritage walks that highlight its multicultural history, street art, and colonial landmarks. Perfect for history lovers and photographers.","heritage, guided tour, walking tour, Penang",Culture & Heritage,George Town,Penang,20,50,2.00  PM - 7.00  PM,Daily,Not Mentioned,4.8,HO214,Penang Heritage Trail,Not Mentioned,https://www.tripadvisor.com.my/Attraction_Review-g298303-d10821538-Reviews-George_Town_Heritage_Walks_Penang-George_Town_Penang_Island_Penang.html,"Explore Penang's UNESCO-listed George Town through guided heritage walks that highlight its multicultural history, street art, and colonial landmarks. Perfect for history lovers and photographers.","heritage, guided tour, walking tour, penang",2.00 p.m. - 7.00 p.m.,Daily,Not Mentioned,35,"Historical, Heritage & Cultural Walks George Town heritage, guided tour, walking tour, penang Explore Penang's UNESCO-listed George Town through guided heritage walks that highlight its multicultural history, street art, and colonial landmarks. Perfect for history lovers and photographers."
EX62,Hola Campsite Cameron Highlands,Family-friendly campsite with BBQ facilities and scenic spots ideal for outdoor lovers.,"camping, family, cameron highlands, outdoor",Nature & Eco,Cameron Highlands,Pahang,70,150,2:00  PM - 12:00  PM,Daily,Not Mentioned,4.8,HO62,Hola Campsite Team,019-773 1221,https://www.facebook.com/HolaCampsite,Family-friendly campsite with BBQ facilities and scenic spots ideal for outdoor lovers.,"camping, family, cameron highlands, outdoor",2.00 p.m. - 12.00 p.m.,Daily,Not Mentioned,110,"Hola Campsite Cameron Highlands camping, family, cameron highlands, outdoor Family-friendly campsite with BBQ facilities and scenic spots ideal for outdoor lovers."
EX63,Homemade Coklat Nise,"Traditional Kelantanese handmade chocolate candy by Puan Roziah Hussein, known as Coklat Nise.","traditional sweet, handmade, Kelantan",Food & Culinary,Kelantan,Kelantan,6.5,10,24 hours,Daily,Not Mentioned,4.9,HO193,Roziah Hussein,Not Mentioned,https://shopee.com.my/Gula-Gula-Manisan-Gula-Melaka-Coklat-Nisan-Homemade-(40pcs)-i.14693110.6778937015?stm_medium=referral&stm_source=rw&uls_trackid=84935a39a3b4,"Traditional Kelantanese handmade chocolate candy by Puan Roziah Hussein, known as Coklat Nise.","traditional sweet, handmade, kelantan",24 hours,Daily,Not Mentioned,8.25,"Homemade Coklat Nise traditional sweet, handmade, kelantan Traditional Kelantanese handmade chocolate candy by Puan Roziah Hussein, known as Coklat Nise."
EX64,Homemade Kuih Bakar Melaka Semabok,"Traditional homemade kuih bakar from Melaka, baked to golden perfection.","kuih bakar, traditional food, Melaka",Food & Culinary,"kedai kuih bakar semabok, no3, Lebuh AMJ, Kampung Ladang, 75050 Melaka",Melaka,1,20,10.00  AM - 6.00 PM,Daily,Not Mentioned,4.5,HO199,Kuih Bakar Homemade Semabok,012-215 2625,https://www.instagram.com/kuihbakarhomemade/?hl=en,"Traditional homemade kuih bakar from Melaka, baked to golden perfection.","kuih bakar, traditional food, melaka",10.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,10.5,"Homemade Kuih Bakar Melaka Semabok kuih bakar, traditional food, melaka Traditional homemade kuih bakar from Melaka, baked to golden perfection."
EX65,Homestay Water Village Patau-Patau 2,"Traditional stilt village showcasing Labuan's heritage, culture, and lifestyle on water.","heritage, culture, labuan, village",Nature & Eco,Kampung Patau-Patau,Labuan,60,75,10.00  AM - 9.00  PM,Daily,Not Mentioned,4.3,HO21,Patau-Patau Homestay,016-842 4981,pulaulabuan.com/homestay-kampung-air-patau-patau-2/,"Traditional stilt village showcasing Labuan's heritage, culture, and lifestyle on water.","heritage, culture, labuan, village",10.00 a.m. - 9.00 p.m.,Daily,Not Mentioned,67.5,"Homestay Water Village Patau-Patau 2 heritage, culture, labuan, village Traditional stilt village showcasing Labuan's heritage, culture, and lifestyle on water."
EX66,Hunter Boat Service,Private boat charters and fishing trips around islands and coasts of Terengganu for tourists and anglers.,"boat service, fishing, island tour, terengganu",Nature & Eco,Terengganu Coast,Terengganu,80,100,24 hours,Daily,Not Mentioned,4.6,HO100,Hunter Boat Service, 019-919 9306,https://www.instagram.com/hunter_boat_service/?hl=en,Private boat charters and fishing trips around islands and coasts of Terengganu for tourists and anglers.,"boat service, fishing, island tour, terengganu",24 hours,Daily,Not Mentioned,90,"Hunter Boat Service boat service, fishing, island tour, terengganu Private boat charters and fishing trips around islands and coasts of Terengganu for tourists and anglers."
EX67,Ikan Bilis Sabarang Sungai Enterprise,"A local seafood supplier near Bebuluh Water Village, showcasing life in Labuan's floating communities.","seafood, local product, Labuan",Nature & Eco,"Bebuloh laut, Bl 0045A, Kampung Bebuloh Laut, 87000 Labuan, Labuan Federal Territory",Labuan,0,0,8.00  AM - 5.00  PM,Daily,Friday,5,HO198,,012-8311849,Not Mentioned,"A local seafood supplier near Bebuluh Water Village, showcasing life in Labuan's floating communities.","seafood, local product, labuan",8.00 a.m. - 5.00 p.m.,Daily,Friday,0,"Ikan Bilis Sabarang Sungai Enterprise seafood, local product, labuan A local seafood supplier near Bebuluh Water Village, showcasing life in Labuan's floating communities."
EX68,Ilham Ceramic Studio,"Ilham Seramik Studio showcases ceramic-making, from clay shaping to finishing touches. Visitors can join workshops to craft their own pieces, reflecting Langkawi's cultural heritage and authentic craftsmanship.","ceramic, crafts, pottery",Arts & Crafts,"Ilham Ceramic Studio, Kampung Bendang Baru, 07000 Kuah, Langkawi, Kedah",Kedah,8,518,9 am - 5 pm,Daily,Friday,4.8,HO1,Radzi Ismail,013-599 4022,https://www.instagram.com/ilham_ceramic/?hl=en,"Ilham Seramik Studio showcases ceramic-making, from clay shaping to finishing touches. Visitors can join workshops to craft their own pieces, reflecting Langkawi's cultural heritage and authentic craftsmanship.","ceramic, crafts, pottery",9.00 a.m. - 5.00 p.m.,Daily,Friday,263,"Ilham Ceramic Studio ceramic, crafts, pottery Ilham Seramik Studio showcases ceramic-making, from clay shaping to finishing touches. Visitors can join workshops to craft their own pieces, reflecting Langkawi's cultural heritage and authentic craftsmanship."
EX69,Jadi Batek - Batik fashion gifts wholesaler retailer,"Jadi Batek is one of the largest batik centers in Kuala Lumpur, offering daily tours where visitors can watch batik-making, meet local artists, and learn the stories behind each creation. Guests can also join hands-on workshops to create their own batik pieces and shop for a wide range of handcrafted batik products and Malaysian souvenirs. It's a one-stop destination for experiencing the beauty of Malaysian art and culture.","batik, handicraft, workshop, heritage, culture, art, souvenir, Kuala Lumpur, tour",Arts & Crafts,"30, Jalan Inai, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,16,100,9.00  AM - 5.30  PM.,Daily,Not Mentioned,4.6,HO147,Jadi Batek,03-2145 1133,https://jadibatek.com/,"Jadi Batek is one of the largest batik centers in Kuala Lumpur, offering daily tours where visitors can watch batik-making, meet local artists, and learn the stories behind each creation. Guests can also join hands-on workshops to create their own batik pieces and shop for a wide range of handcrafted batik products and Malaysian souvenirs. It's a one-stop destination for experiencing the beauty of Malaysian art and culture.","batik, handicraft, workshop, heritage, culture, art, souvenir, kuala lumpur, tour",9.00 a.m. - 5.30 p.m.,Daily,Not Mentioned,58,"Jadi Batek - Batik fashion gifts wholesaler retailer batik, handicraft, workshop, heritage, culture, art, souvenir, kuala lumpur, tour Jadi Batek is one of the largest batik centers in Kuala Lumpur, offering daily tours where visitors can watch batik-making, meet local artists, and learn the stories behind each creation. Guests can also join hands-on workshops to create their own batik pieces and shop for a wide range of handcrafted batik products and Malaysian souvenirs. It's a one-stop destination for experiencing the beauty of Malaysian art and culture."
EX70,Jelita Ostrich Farm,Interactive ostrich farm in Negeri Sembilan where visitors can feed and learn about ostriches.,"ostrich, farm, eco, agro tourism",Nature & Eco,Seremban,Negeri Sembilan,15,45,9:00  AM - 5:00  PM,Daily,Not Mentioned,4.7,HO36,Jelita Ostrich Farm,012-3456 7890,https://www.facebook.com/jelitaostrichfarm,Interactive ostrich farm in Negeri Sembilan where visitors can feed and learn about ostriches.,"ostrich, farm, eco, agro tourism",9.00 a.m. - 5.00 p.m.,Daily,Not Mentioned,30,"Jelita Ostrich Farm ostrich, farm, eco, agro tourism Interactive ostrich farm in Negeri Sembilan where visitors can feed and learn about ostriches."
EX71,Jeruk Madu Pak Ali,Famous local brand producing preserved sweet & tangy fruits using traditional methods.,"jeruk, local product, snack, penang",Food & Culinary,George Town,Penang,8,35,10:00 AM-6:00 PM,Daily,Not Mentioned,4.3,HO121,Pak Ali Jeruk,018-345 2212,Known for mango jeruk.,Famous local brand producing preserved sweet & tangy fruits using traditional methods.,"jeruk, local product, snack, penang",10.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,21.5,"Jeruk Madu Pak Ali jeruk, local product, snack, penang Famous local brand producing preserved sweet & tangy fruits using traditional methods."
EX72,Jeti Pak Awang River Cruise,Traditional river cruise showcasing fishing life and mangrove views along the Terengganu River.,"river cruise, ecotourism, culture, terengganu",Nature & Eco,Kuala Terengganu,Terengganu,25,30,7.00  AM - 6.00  PM,Daily,Not Mentioned,4.8,HO99,Jeti Pak Awang River Cruise,011-2091 9802,https://www.facebook.com/p/Jeti-Pak-Awang-River-Cruise-Terengganu-100051743393292/,Traditional river cruise showcasing fishing life and mangrove views along the Terengganu River.,"river cruise, ecotourism, culture, terengganu",7.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,27.5,"Jeti Pak Awang River Cruise river cruise, ecotourism, culture, terengganu Traditional river cruise showcasing fishing life and mangrove views along the Terengganu River."
EX73,Juliana Native Handwork & Bead Art Workshop,Workshop showcasing traditional Sarawak beadwork with hands-on sessions to learn native designs and techniques.,"handicraft, beadwork, sarawak, workshop",Arts & Crafts,Kuching,Sarawak,40,120,10:00  AM - 6:00  PM,Mon - Sat,Sunday,4.8,HO80,Juliana Beads Studio,013-777 2489,Not Mentioned,Workshop showcasing traditional Sarawak beadwork with hands-on sessions to learn native designs and techniques.,"handicraft, beadwork, sarawak, workshop",10.00 a.m. - 6.00 p.m.,Monday - Saturday,Sunday,80,"Juliana Native Handwork & Bead Art Workshop handicraft, beadwork, sarawak, workshop Workshop showcasing traditional Sarawak beadwork with hands-on sessions to learn native designs and techniques."
EX74,Kadaiku • Sabah Souvenirs & Handicrafts,"Retail store managed by Kraftangan Malaysia showcasing authentic Sabah crafts, textiles, and handmade gifts made by local artisans.","handicraft, souvenirs, sabah, local",Arts & Crafts,Kota Kinabalu,Sabah,10,300,9:00  AM - 6:00  PM,Mon - Sat,Sunday,4.8,HO72,Kadaiku Sabah,088-272 177,https://www.facebook.com/KadaikuSabah,"Retail store managed by Kraftangan Malaysia showcasing authentic Sabah crafts, textiles, and handmade gifts made by local artisans.","handicraft, souvenirs, sabah, local",9.00 a.m. - 6.00 p.m.,Monday - Saturday,Sunday,155,"Kadaiku • Sabah Souvenirs & Handicrafts handicraft, souvenirs, sabah, local Retail store managed by Kraftangan Malaysia showcasing authentic Sabah crafts, textiles, and handmade gifts made by local artisans."
EX75,Kak Yah Budu Tempayan,Home of the famous traditional Kelantanese “budu” (fermented anchovy sauce) made in clay jars for authentic flavor.,"food, local product, budu, kelantan",Food & Culinary,Tumpat,Kelantan,5.8,11,8.30  AM - 7.15  PM,Daily,Not Mentioned,4.6,HO131,Kakyah, 011-1063 7360,Not Mentioned,Home of the famous traditional Kelantanese “budu” (fermented anchovy sauce) made in clay jars for authentic flavor.,"food, local product, budu, kelantan",8.30 a.m. - 7.15 p.m.,Daily,Not Mentioned,8.4,"Kak Yah Budu Tempayan food, local product, budu, kelantan Home of the famous traditional Kelantanese “budu” (fermented anchovy sauce) made in clay jars for authentic flavor."
EX76,"Kalang Warisan, Serada","Community-based tourism destination in Kampung Pulau Manis, Serada, combining culture, recreation, and nature activities. Discovery Terengganu+2Wanderlog+2","culture, heritage, arts, terengganu",Culture & Heritage,Kuala Terengganu,Terengganu,30,160,Tue-Sun 8:00  AM - 6:30  PM ,Daily,Monday,4.4,HO104,Kalang Warisan,012-371 5412,https://www.facebook.com/KalangWarisan Discovery Terengganu+1,"Community-based tourism destination in Kampung Pulau Manis, Serada, combining culture, recreation, and nature activities. Discovery Terengganu+2Wanderlog+2","culture, heritage, arts, terengganu",Tue-Sun 8:00 AM - 6:30 PM,Daily,Monday,95,"Kalang Warisan, Serada culture, heritage, arts, terengganu Community-based tourism destination in Kampung Pulau Manis, Serada, combining culture, recreation, and nature activities. Discovery Terengganu+2Wanderlog+2"
EX77,Kalimi Wau Bulan,"Workshop specializing in the making of traditional Wau Bulan, an iconic cultural symbol of Kelantan.","wau bulan, heritage craft, kelantan",Arts & Crafts,Kota Bharu,Kelantan,20,180,10.00  AM - 5.00  PM,Mon-Sat,Sunday,4.9,HO128,Pak Kalimi,019-833 1240,Visitors can watch live wau-making sessions and purchase handcrafted pieces.,"Workshop specializing in the making of traditional Wau Bulan, an iconic cultural symbol of Kelantan.","wau bulan, heritage craft, kelantan",10.00 a.m. - 5.00 p.m.,Monday - Saturday,Sunday,100,"Kalimi Wau Bulan wau bulan, heritage craft, kelantan Workshop specializing in the making of traditional Wau Bulan, an iconic cultural symbol of Kelantan."
EX78,Kampung Agong Heritage Theme Park,"Kampung Agong is a unique agro-tourism destination located in Penaga, Penang, Malaysia. Surrounded by lush paddy fields and serene village scenery, it offers the perfect escape from the city for those wanting to experience traditional Malay kampung life.","heritage, kampung, nature",Culture & Heritage,"841, Kampung Bakar Kapor, 13100 Penaga, Pulau Pinang",Penang,5,18,9 am - 6 pm,Daily,Not Mentioned,4.5,HO194,Kampung Agong,0 12 481 7795,https://kampungagong.com/about/,"Kampung Agong is a unique agro-tourism destination located in Penaga, Penang, Malaysia. Surrounded by lush paddy fields and serene village scenery, it offers the perfect escape from the city for those wanting to experience traditional Malay kampung life.","heritage, kampung, nature",9.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,11.5,"Kampung Agong Heritage Theme Park heritage, kampung, nature Kampung Agong is a unique agro-tourism destination located in Penaga, Penang, Malaysia. Surrounded by lush paddy fields and serene village scenery, it offers the perfect escape from the city for those wanting to experience traditional Malay kampung life."
EX79,Kampung Bilit Homestay,"Kampung Bilit Homestay offers an authentic Malaysian village experience nestled along the serene riverbanks of Sarawak. Guests can enjoy traditional longhouse hospitality, local cuisine, and hands-on cultural activities such as fishing, bamboo rafting, and traditional handicraft workshops. Ideal for families, nature lovers, and travelers seeking a peaceful retreat away from the city.","homestay, eco-tourism, sustainable, local",Homestay,"Kinabatangan, Sabah",Sabah,40,120,24 hours,Daily,Not Mentioned,4.3,HO228,Marino & Halimah,019-883-5714,https://www.tripadvisor.com.my/Hotel_Review-g303997-d2101389-Reviews-Bilit_Village_Homestay-Sandakan_Sandakan_Division_Sabah.html,"Kampung Bilit Homestay offers an authentic Malaysian village experience nestled along the serene riverbanks of Sarawak. Guests can enjoy traditional longhouse hospitality, local cuisine, and hands-on cultural activities such as fishing, bamboo rafting, and traditional handicraft workshops. Ideal for families, nature lovers, and travelers seeking a peaceful retreat away from the city.","homestay, eco-tourism, sustainable, local",24 hours,Daily,Not Mentioned,80,"Kampung Bilit Homestay homestay, eco-tourism, sustainable, local Kampung Bilit Homestay offers an authentic Malaysian village experience nestled along the serene riverbanks of Sarawak. Guests can enjoy traditional longhouse hospitality, local cuisine, and hands-on cultural activities such as fishing, bamboo rafting, and traditional handicraft workshops. Ideal for families, nature lovers, and travelers seeking a peaceful retreat away from the city."
EX80,Kampung Budaya Sarawak,"An award-winning living museum featuring Sarawak's ethnic houses, crafts, and traditional performances.","culture, heritage village, sarawak",Culture & Heritage,"Pantai Damai Santubong, Kampung Budaya Sarawak, 93752 Kuching, Sarawak",Sarawak,55,135,9.00  AM - 5.00  PM,Daily,Not Mentioned,4.4,HO183,Kampung Budaya Sarawak,082-846 108,https://scv.com.my/ms/,"An award-winning living museum featuring Sarawak's ethnic houses, crafts, and traditional performances.","culture, heritage village, sarawak",9.00 a.m. - 5.00 p.m.,Daily,Not Mentioned,95,"Kampung Budaya Sarawak culture, heritage village, sarawak An award-winning living museum featuring Sarawak's ethnic houses, crafts, and traditional performances."
EX81,Kampung Budaya Terengganu,"An open-air cultural village offering live demonstrations of weaving, silat, gamelan, and traditional crafts. The village highlights architecture, customs, and arts from all eight Terengganu districts.","culturalvillage, terengganu, heritage",Culture & Heritage,"Terengganu State Museum, Kampung Bukit Losong, 20566 Kuala Terengganu, Terengganu",Terengganu,0,5,9.00  AM - 5.00 PM,Daily,"Tuesday, friday",4.7,HO156,Kampung Budaya Terengganu,09-623 1553,https://www.discoveryterengganu.com/tempat/kampung-budaya-terengganu/,"An open-air cultural village offering live demonstrations of weaving, silat, gamelan, and traditional crafts. The village highlights architecture, customs, and arts from all eight Terengganu districts.","culturalvillage, terengganu, heritage",9.00 a.m. - 5.00 p.m.,Daily,"Tuesday, friday",2.5,"Kampung Budaya Terengganu culturalvillage, terengganu, heritage An open-air cultural village offering live demonstrations of weaving, silat, gamelan, and traditional crafts. The village highlights architecture, customs, and arts from all eight Terengganu districts."
EX82,Kampung Dagat Homestay,"Kampung Dagat Homestay offers an authentic village experience nestled along the serene rivers of Malaysia. Guests can immerse themselves in the tranquil rhythms of rural life, enjoy the fresh air, and witness the natural beauty of lush landscapes and calm waterways.","homestay, eco-tourism, sustainable, local",Homestay,"Kinabatangan, Sabah",Sabah,30,80,24 hours,Daily,Not Mentioned,4.9,HO229,Komuniti Kampung Dagat,011-3162 3518,Not Mentioned,"Kampung Dagat Homestay offers an authentic village experience nestled along the serene rivers of Malaysia. Guests can immerse themselves in the tranquil rhythms of rural life, enjoy the fresh air, and witness the natural beauty of lush landscapes and calm waterways.","homestay, eco-tourism, sustainable, local",24 hours,Daily,Not Mentioned,55,"Kampung Dagat Homestay homestay, eco-tourism, sustainable, local Kampung Dagat Homestay offers an authentic village experience nestled along the serene rivers of Malaysia. Guests can immerse themselves in the tranquil rhythms of rural life, enjoy the fresh air, and witness the natural beauty of lush landscapes and calm waterways."
EX83,Kampung Kuantan Fireflies Park,Famous river-boat tours at night to witness glowing fireflies along mangrove banks in Selangor.,"fireflies, nature, ecotourism, selangor",Nature & Eco,"Kampung Kuantan, Kuala Selangor",Selangor,20,50,7:30  PM - 10:30  PM,Daily,Not Mentioned,4.6,HO93,Kampung Kuantan Fireflies,019-907 3345,Not Mentioned,Famous river-boat tours at night to witness glowing fireflies along mangrove banks in Selangor.,"fireflies, nature, ecotourism, selangor",7.30 p.m. - 10.30 p.m.,Daily,Not Mentioned,35,"Kampung Kuantan Fireflies Park fireflies, nature, ecotourism, selangor Famous river-boat tours at night to witness glowing fireflies along mangrove banks in Selangor."
EX84,Kampung Laut Cultural Heritage Site,"Historical and cultural site featuring traditional Malay architecture, showcasing the heritage of Kelantan's old settlement.","heritage, culture, architecture, kelantan",Culture & Heritage,Wakaf Bharu,Kelantan,0,1,8.00  AM - 5.00  PM,Daily,"Friday, Saturday",4.7,HO129,Laman Warisan Kampung Laut,Not Mentioned,https://www.facebook.com/kampunglautkelantan/,"Historical and cultural site featuring traditional Malay architecture, showcasing the heritage of Kelantan's old settlement.","heritage, culture, architecture, kelantan",8.00 a.m. - 5.00 p.m.,Daily,"Friday, saturday",0.5,"Kampung Laut Cultural Heritage Site heritage, culture, architecture, kelantan Historical and cultural site featuring traditional Malay architecture, showcasing the heritage of Kelantan's old settlement."
EX85,Kampung Padi,"A peaceful village stay surrounded by rice fields, offering traditional experiences and cultural immersion.","homestay, culture, paddy, kedah",Culture & Heritage,Sungai Petani,Kedah,0,0,9.00  AM - 11.00  PM,Daily,Tuesday,4.1,HO139,Kampung Padi,017-563 6056,https://www.facebook.com/tourismkedah/posts/kedah-kualamuda-port-healing-baru-di-kedah-kampung-padiescape-the-hustle-embrace/1025609849592050/,"A peaceful village stay surrounded by rice fields, offering traditional experiences and cultural immersion.","homestay, culture, paddy, kedah",9.00 a.m. - 11.00 p.m.,Daily,Tuesday,0,"Kampung Padi homestay, culture, paddy, kedah A peaceful village stay surrounded by rice fields, offering traditional experiences and cultural immersion."
EX86,Kareem Pasembur Rojak,Long-standing family business in Penang serving pasembur and rojak with homemade sauce.,"pasembur, rojak, streetfood, penang",Food & Culinary,George Town,Penang,5,14,11:00 AM-8:00 PM,Daily,Not Mentioned,4.4,HO124,Kareem Rojak,017-299 8877,Popular evening spot.,Long-standing family business in Penang serving pasembur and rojak with homemade sauce.,"pasembur, rojak, streetfood, penang",11.00 a.m. - 8.00 p.m.,Daily,Not Mentioned,9.5,"Kareem Pasembur Rojak pasembur, rojak, streetfood, penang Long-standing family business in Penang serving pasembur and rojak with homemade sauce."
EX87,Kebun Limau Agro Cikgu Ibrahim,A citrus farm where visitors can explore and learn about lime cultivation while enjoying fresh fruits.,"farm, citrus, agro tourism, kedah",Nature & Eco,Pokok Sena,Kedah,10,30,8.00  AM - 5.00  PM,Daily,Friday,4.9,HO137,Cikgu Ibrahim,013-488 5560,Not Mentioned,A citrus farm where visitors can explore and learn about lime cultivation while enjoying fresh fruits.,"farm, citrus, agro tourism, kedah",8.00 a.m. - 5.00 p.m.,Daily,Friday,20,"Kebun Limau Agro Cikgu Ibrahim farm, citrus, agro tourism, kedah A citrus farm where visitors can explore and learn about lime cultivation while enjoying fresh fruits."
EX88,Kedai Belacan Cincaluk Sri Murni,Traditional Melaka shop selling homemade belacan and cincaluk condiments.,"food, melaka, traditional, condiment",Food & Culinary,Tanjung Kling,Melaka,2.2,5.5,8.00  AM - 6.00  PM,Daily,Not Mentioned,4.9,HO27,KBC Seri Murni, 010-879 4110,https://shopee.com.my/kedaibelacancincalukserimurni,Traditional Melaka shop selling homemade belacan and cincaluk condiments.,"food, melaka, traditional, condiment",8.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,3.85,"Kedai Belacan Cincaluk Sri Murni food, melaka, traditional, condiment Traditional Melaka shop selling homemade belacan and cincaluk condiments."
EX89,Kedai Jala Mad Rezeki,"Located in Parit Buntar, Kedai Jala Mad Rezeki is a popular spot for fishing enthusiasts. The shop offers a wide range of quality fishing equipment and serves as a friendly gathering place for the local fishing community.","fishing, equipment, shop, parit buntar, community, outdoor, angling, perak",Arts & Crafts,Parit Buntar,Perak,10,50,9.00 AM - 6.00  PM,Daily,Sunday,5,HO215,Mad Rezeki, 017-420 1061,https://www.facebook.com/100063694412690/?locale=en_GB,"Located in Parit Buntar, Kedai Jala Mad Rezeki is a popular spot for fishing enthusiasts. The shop offers a wide range of quality fishing equipment and serves as a friendly gathering place for the local fishing community.","fishing, equipment, shop, parit buntar, community, outdoor, angling, perak",9.00 a.m. - 6.00 p.m.,Daily,Sunday,30,"Kedai Jala Mad Rezeki fishing, equipment, shop, parit buntar, community, outdoor, angling, perak Located in Parit Buntar, Kedai Jala Mad Rezeki is a popular spot for fishing enthusiasts. The shop offers a wide range of quality fishing equipment and serves as a friendly gathering place for the local fishing community."
EX90,Kedai Kraftangan Lina Madu,Sells locally crafted honey-based products and handicrafts.,"craft, honey, local, souvenir",Arts & Crafts,Bahau,Negeri Sembilan,5,50,10:00  AM - 6:00  PM,Daily,Not Mentioned,4.5,HO37,Kedai Kraftangan Lina Madu,019-556 2234,https://www.facebook.com/kedaimadulina,Sells locally crafted honey-based products and handicrafts.,"craft, honey, local, souvenir",10.00 a.m. - 6.00 p.m.,Daily,Not Mentioned,27.5,"Kedai Kraftangan Lina Madu craft, honey, local, souvenir Sells locally crafted honey-based products and handicrafts."
